지점명,일시,평균기온(°C),평균최고기온(°C),평균상대습도(%),월합강수량(00~24h만)(mm),평균풍속(m/s)
서울,1924-1-24,-2.5,2.8,67,13.6,2
서울,1924-2-24,-1.8,2.8,62,76.8,3.3
서울,1924-3-24,1.1,6.5,62,18.1,2.9
서울,1924-4-24,11.1,17.8,68,94.5,2.9
서울,1924-5-24,16,22.4,66,60.7,3.2
서울,1924-6-24,21.2,27.9,68,124.9,2.6
서울,1924-7-24,25.6,29.9,81,423.2,3.1
서울,1924-8-24,27,32.8,66,13.4,3.2
서울,1924-9-24,20.3,26.4,68,81.5,2.1
서울,1924-10-24,12.6,19.2,65,33.2,1.9
서울,1924-11-24,3.3,8.5,65,46.1,3.1
서울,1924-12-24,-1.6,2.7,69,15,2
서울,1925-1-24,-4.1,0.7,66,5.8,1.4
서울,1925-2-24,-2.9,2,62,16.4,1.9
서울,1925-3-24,1.5,6.5,65,40.9,2.4
서울,1925-4-24,9.8,16.6,64,28,2.3
서울,1925-5-24,16.1,21.9,73,187.5,2.1
서울,1925-6-24,20.6,26.3,74,102.8,2.1
서울,1925-7-24,23.3,27.7,78,841.1,2.5
서울,1925-8-24,25.2,30.1,80,418,1.8
서울,1925-9-24,19.8,25.1,73,157.9,1.8
서울,1925-10-24,13.3,19.7,70,29.9,1.4
서울,1925-11-24,7.4,12.4,71,57.6,1.6
서울,1925-12-24,-1.4,2.3,69,48.2,2.1
서울,1926-1-24,-4.8,-0.8,68,28.8,1.6
서울,1926-2-24,-2.5,2.2,64,9.4,1.8
서울,1926-3-24,3.1,9,64,11.8,2.5
서울,1926-4-24,9.1,15.4,65,82.4,2.7
서울,1926-5-24,16.7,22,71,101,2.3
서울,1926-6-24,20.7,27.2,65,34.1,2.4
서울,1926-7-24,24.1,28.4,81,847.6,2
서울,1926-8-24,25.4,29.4,82,372.1,1.8
서울,1926-9-24,20.3,25.3,78,174.7,1.1
서울,1926-10-24,11.5,17.1,70,109.3,1.6
서울,1926-11-24,6.3,12,71,29.3,1
서울,1926-12-24,-4,0.3,64,22,1.9
서울,1927-1-24,-4.1,0.1,64,71.3,1.9
서울,1927-2-24,-2.9,1.6,58,1.7,2.3
서울,1927-3-24,3.4,8.6,67,58.2,2.2
서울,1927-4-24,11.7,17.8,66,109.9,2.1
서울,1927-5-24,13.8,19.3,73,125.5,2.5
서울,1927-6-24,21.2,27.7,67,43.7,2.1
서울,1927-7-24,25.7,30,84,369.2,2.2
서울,1927-8-24,25,29.9,82,306,1.5
서울,1927-9-24,19.6,25.9,69,40.8,1.5
서울,1927-10-24,12.8,18.7,73,77.1,1.6
서울,1927-11-24,7.7,13.7,71,22.7,1.6
서울,1927-12-24,-2,2,68,43.6,1.9
서울,1928-1-24,-5.2,-1,68,62.6,2.1
서울,1928-2-24,-2.3,2,62,8.2,2.1
서울,1928-3-24,4.1,9.1,66,25.6,1.9
서울,1928-4-24,12.1,18.7,64,25.1,1.7
서울,1928-5-24,16.5,23.2,68,56,2.3
서울,1928-6-24,21.5,27.8,68,117.2,1.9
서울,1928-7-24,25,29.8,78,193.2,2.1
서울,1928-8-24,25.7,31.7,69,228.2,2.1
서울,1928-9-24,20.3,25.5,75,230.7,1.9
서울,1928-10-24,12.3,19.5,71,26.3,1.4
서울,1928-11-24,5.2,10.8,71,65.6,1.7
서울,1928-12-24,-1.9,2.6,64,15.6,1.6
서울,1929-1-24,-4.8,-0.2,59,28.1,1.9
서울,1929-2-24,-2.8,2.8,60,4.8,2
서울,1929-3-24,4.4,10.5,60,12.8,2.6
서울,1929-4-24,10.4,17,66,95.2,2.4
서울,1929-5-24,16.7,23.5,71,44.6,2
서울,1929-6-24,22.9,29.8,67,152.4,2.1
서울,1929-7-24,25.9,30.8,80,315.1,2
서울,1929-8-24,26.2,31.8,76,267.1,1.8
서울,1929-9-24,18.8,25.7,71,73.6,1.5
서울,1929-10-24,12.8,20.2,68,13.4,1.3
서울,1929-11-24,4.9,10.9,70,18.7,1.3
서울,1929-12-24,1.5,5.2,75,104.4,2.1
서울,1930-1-24,-4.5,0.5,63,2.5,1.6
서울,1930-2-24,0.9,6.5,66,49.1,2
서울,1930-3-24,6.3,11.7,69,92.7,2.4
서울,1930-4-24,12.5,18.9,69,100,2.1
서울,1930-5-24,16.7,23.4,70,113.1,2.3
서울,1930-6-24,21.4,28.1,67,56.8,2.1
서울,1930-7-24,25.5,29.6,85,821.3,1.9
서울,1930-8-24,26.4,32.2,75,174.2,1.5
서울,1930-9-24,19.5,25.7,70,45.2,1.7
서울,1930-10-24,14,20.9,74,88.5,1.4
서울,1930-11-24,3.1,7.6,69,75.7,2
서울,1930-12-24,-0.8,3.7,69,7.5,1.3
서울,1931-1-24,-3.9,0.3,72,34.5,1.8
서울,1931-2-24,-2.7,2.1,63,37.5,2
서울,1931-3-24,4.7,11,64,34.9,1.9
서울,1931-4-24,8.8,14.9,66,104.3,2.4
서울,1931-5-24,16.3,23.6,68,175.9,2.1
서울,1931-6-24,21.4,27.9,74,115.5,1.9
서울,1931-7-24,22.4,27.4,78,245.1,2.1
서울,1931-8-24,25,29.5,83,445.4,1.9
서울,1931-9-24,20,26.3,74,53.2,1.8
서울,1931-10-24,11.9,19.7,70,13.8,1.4
서울,1931-11-24,7.7,13.6,74,49.7,1.3
서울,1931-12-24,-1,3.5,75,78.5,1.5
서울,1932-1-24,-0.6,5.1,71,4.4,1.6
서울,1932-2-24,-1.4,3.1,68,22.6,2.3
서울,1932-3-24,2.8,8.7,64,28.2,2.5
서울,1932-4-24,9.9,16.1,67,28.9,2.3
서울,1932-5-24,17,24.3,68,97.6,2.4
서울,1932-6-1,21.7,27.6,73,80.6,1.8
서울,1932-7-1,25.9,31.3,80,213.5,1.8
서울,1932-8-1,25.6,30.7,77,274.6,1.8
서울,1932-9-1,20.2,26.5,70,64.2,1.5
서울,1932-10-1,12.2,19.4,73,68.9,1.6
서울,1932-11-1,5.8,12.3,71,24.5,1.5
서울,1932-12-1,0.6,5,65,33.2,1.8
서울,1933-1-1,-6.4,-2.4,54,6.1,2.6
서울,1933-2-1,-3.7,0.7,59,18.2,2.8
서울,1933-3-1,0.6,5.1,62,17.1,3
서울,1933-4-1,10.2,16.5,61,55.4,3.3
서울,1933-5-1,16.3,22.3,70,170.8,3.3
서울,1933-6-1,20.7,26.2,73,201.3,2.9
서울,1933-7-1,25.5,30.3,80,395.3,3
서울,1933-8-1,24.1,28.3,82,225,3
서울,1933-9-1,20.1,25.5,72,205.8,2.9
서울,1933-10-1,13,18.5,67,40.7,2.4
서울,1933-11-1,5.5,10.7,68,33.1,2.5
서울,1933-12-1,0.4,4.2,68,32,2.4
서울,1934-1-1,-8.3,-3.6,57,5.3,2.1
서울,1934-2-1,-2.3,2.1,62,19.6,2.8
서울,1934-3-1,2,6.9,58,50.5,4.3
서울,1934-4-1,9.1,15.3,60,87.4,3.5
서울,1934-5-1,16.9,23.3,70,82.7,2.8
서울,1934-6-1,20.2,25.2,76,149.3,3.2
서울,1934-7-1,23.8,27.2,85,356.9,3.3
서울,1934-8-1,24.1,28,84,184.1,3
서울,1934-9-1,19.3,24.6,74,202.7,2.6
서울,1934-10-1,11.7,18,64,14.6,2.3
서울,1934-11-1,4.3,9.3,61,57.3,2.8
서울,1934-12-1,0.8,5.2,68,34.2,2
서울,1935-1-1,-3.2,1,64,12.1,2.6
서울,1935-2-1,-0.2,5.5,58,4.2,2.5
서울,1935-3-1,5.1,10.4,56,12.2,3.5
서울,1935-4-1,10.3,16.8,60,66.9,3.3
서울,1935-5-1,16,22.2,64,90.9,3.4
서울,1935-6-1,20.1,25.7,73,169.3,3.3
서울,1935-7-1,23.8,28.5,81,530.3,2.9
서울,1935-8-1,25,30.1,78,117.2,2.4
서울,1935-9-1,20.3,27,68,85.2,2.4
서울,1935-10-1,14.6,20.6,68,44.1,2.6
서울,1935-11-1,6.6,11.6,68,53.2,2.5
서울,1935-12-1,-3.9,0.7,57,16.7,2.8
서울,1936-1-1,-8.8,-4,52,4.5,2.9
서울,1936-2-1,-4.4,0.1,62,19,2.8
서울,1936-3-1,-0.2,5,59,27,3.5
서울,1936-4-1,9.1,15.2,66,141.2,3.9
서울,1936-5-1,15.8,22.5,67,27.4,3.2
서울,1936-6-1,20.7,26.5,73,65.1,2.6
서울,1936-7-1,23.6,28.4,80,210.2,3
서울,1936-8-1,22.7,26.9,85,668.8,3
서울,1936-9-1,20.1,25.3,81,252.4,2.4
서울,1936-10-1,13.2,20.1,65,3.7,2.5
서울,1936-11-1,5.7,11,65,44.5,2.8
서울,1936-12-1,-0.5,3.6,65,67.8,2.4
서울,1937-1-1,-3.6,0.7,59,15.7,2.3
서울,1937-2-1,0.1,4.4,66,36.3,2.7
서울,1937-3-1,3.6,8.7,58,36.6,3.4
서울,1937-4-1,10.6,16.6,62,150.8,3.5
서울,1937-5-1,15.8,22.2,67,70.2,3.3
서울,1937-6-1,21.6,28,66,74.4,2.6
서울,1937-7-1,24.6,29.8,81,248.8,2.3
서울,1937-8-1,26.7,32,80,158.9,2.3
서울,1937-9-1,20.3,26.4,74,183,2.2
서울,1937-10-1,13.8,20.1,70,45.9,2
서울,1937-11-1,7.2,12.2,69,20.2,2.2
서울,1937-12-1,-3.9,0.7,63,21.9,2.4
