지점명,일시,평균기온(°C),평균최고기온(°C),평균상대습도(%),월합강수량(00~24h만)(mm),평균풍속(m/s),연,월이름,월,계절,계절_index
서울,1924-01-24,-2.5,2.8,67,13.6,2,1924,1월,1,겨울,4
서울,1924-02-24,-1.8,2.8,62,76.8,3.3,1924,2월,2,겨울,4
서울,1924-03-24,1.1,6.5,62,18.1,2.9,1924,3월,3,봄,1
서울,1924-04-24,11.1,17.8,68,94.5,2.9,1924,4월,4,봄,1
서울,1924-05-24,16,22.4,66,60.7,3.2,1924,5월,5,봄,1
서울,1924-06-24,21.2,27.9,68,124.9,2.6,1924,6월,6,여름,2
서울,1924-07-24,25.6,29.9,81,423.2,3.1,1924,7월,7,여름,2
서울,1924-08-24,27,32.8,66,13.4,3.2,1924,8월,8,여름,2
서울,1924-09-24,20.3,26.4,68,81.5,2.1,1924,9월,9,가을,3
서울,1924-10-24,12.6,19.2,65,33.2,1.9,1924,10월,10,가을,3
서울,1924-11-24,3.3,8.5,65,46.1,3.1,1924,11월,11,가을,3
서울,1924-12-24,-1.6,2.7,69,15,2,1924,12월,12,겨울,4
서울,1925-01-24,-4.1,0.7,66,5.8,1.4,1925,1월,1,겨울,4
서울,1925-02-24,-2.9,2,62,16.4,1.9,1925,2월,2,겨울,4
서울,1925-03-24,1.5,6.5,65,40.9,2.4,1925,3월,3,봄,1
서울,1925-04-24,9.8,16.6,64,28,2.3,1925,4월,4,봄,1
서울,1925-05-24,16.1,21.9,73,187.5,2.1,1925,5월,5,봄,1
서울,1925-06-24,20.6,26.3,74,102.8,2.1,1925,6월,6,여름,2
서울,1925-07-24,23.3,27.7,78,841.1,2.5,1925,7월,7,여름,2
서울,1925-08-24,25.2,30.1,80,418,1.8,1925,8월,8,여름,2
서울,1925-09-24,19.8,25.1,73,157.9,1.8,1925,9월,9,가을,3
서울,1925-10-24,13.3,19.7,70,29.9,1.4,1925,10월,10,가을,3
서울,1925-11-24,7.4,12.4,71,57.6,1.6,1925,11월,11,가을,3
서울,1925-12-24,-1.4,2.3,69,48.2,2.1,1925,12월,12,겨울,4
서울,1926-01-24,-4.8,-0.8,68,28.8,1.6,1926,1월,1,겨울,4
서울,1926-02-24,-2.5,2.2,64,9.4,1.8,1926,2월,2,겨울,4
서울,1926-03-24,3.1,9,64,11.8,2.5,1926,3월,3,봄,1
서울,1926-04-24,9.1,15.4,65,82.4,2.7,1926,4월,4,봄,1
서울,1926-05-24,16.7,22,71,101,2.3,1926,5월,5,봄,1
서울,1926-06-24,20.7,27.2,65,34.1,2.4,1926,6월,6,여름,2
서울,1926-07-24,24.1,28.4,81,847.6,2,1926,7월,7,여름,2
서울,1926-08-24,25.4,29.4,82,372.1,1.8,1926,8월,8,여름,2
서울,1926-09-24,20.3,25.3,78,174.7,1.1,1926,9월,9,가을,3
서울,1926-10-24,11.5,17.1,70,109.3,1.6,1926,10월,10,가을,3
서울,1926-11-24,6.3,12,71,29.3,1,1926,11월,11,가을,3
서울,1926-12-24,-4,0.3,64,22,1.9,1926,12월,12,겨울,4
서울,1927-01-24,-4.1,0.1,64,71.3,1.9,1927,1월,1,겨울,4
서울,1927-02-24,-2.9,1.6,58,1.7,2.3,1927,2월,2,겨울,4
서울,1927-03-24,3.4,8.6,67,58.2,2.2,1927,3월,3,봄,1
서울,1927-04-24,11.7,17.8,66,109.9,2.1,1927,4월,4,봄,1
서울,1927-05-24,13.8,19.3,73,125.5,2.5,1927,5월,5,봄,1
서울,1927-06-24,21.2,27.7,67,43.7,2.1,1927,6월,6,여름,2
서울,1927-07-24,25.7,30,84,369.2,2.2,1927,7월,7,여름,2
